Customer Tier,Transaction date,Replace,Remove,Firedoor,Drop Test,Bumpers,Is_customer_Lenworth,Specialty Door,Dock Seal,Door(general),Hardware/Parts,Dimensions,Column1,Work_type,sqft_services,Flat_Services,Operator/Opener,Install,Quantity,Sales price,Amount,Totals,Distance,service,Distance Tier,unique,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,door_width,door_height,door_sqft,size_source,size_confidence,size_note
Loyalty,03/10/2022,0,0,0,0,0,1,0,0,1,0,,,Install,Door (General),,0,1,1.0,4750.0,4750.0,5367.5,145.54,Door (General) Install,1,,,,,,,,1080.0,back_calculated,high,back_calculated | raw=1079.5 snapped=1080
Recurring,19/06/2025,0,0,0,0,0,0,0,0,1,0,9 * 8,,Supply & Install,Door (General),,0,0,3.0,4650.0,13950.0,15763.5,401.57,Door (General) Supply & Install,4,,,,,,,,770.0,back_calculated,high,back_calculated | raw=768.6 snapped=770
Recurring,26/11/2022,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,1.0,4600.0,4600.0,5198.0,68.14,Door (General) Install,0,,,,,,,,760.0,back_calculated,high,back_calculated | raw=760.3 snapped=760
New,21/03/2023,0,0,0,0,0,0,0,0,1,0,10 * 8,,Supply Only,Door (General),,0,0,2.0,8560.0,8560.0,9672.8,338.24,,3,,,,,,,,,standard_default,low,no_size_applicable
New,14/11/2020,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),Operator/Opener,0,1,2.0,8531.0,8531.0,9640.03,286.95,Door (General) Install,2,,,,,,,,1410.0,back_calculated,high,back_calculated | raw=1410.1 snapped=1410
Recurring,02/10/2023,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),Operator/Opener,0,1,1.0,4200.0,4200.0,4746.0,57.73,Door (General) Install,0,,,,,,,,695.0,back_calculated,high,back_calculated | raw=694.2 snapped=695
Recurring,08/04/2022,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,1.0,4200.0,4200.0,4746.0,138.0,Door (General) Install,1,,,,,,,,695.0,back_calculated,high,back_calculated | raw=694.2 snapped=695
Recurring,16/04/2025,0,1,0,0,0,0,0,0,1,0,,,Remove and Replace,Door (General),,0,0,8.0,33100.0,33100.0,37403.0,20.4,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,14/06/2023,0,0,0,0,0,0,0,0,1,0,12 * 10,,Supply & Install,Door (General),,0,0,1.0,4125.0,4125.0,4661.25,175.0,Door (General) Supply & Install,1,,,,,,,,680.0,back_calculated,high,back_calculated | raw=681.8 snapped=680
New,18/11/2024,0,0,0,0,0,0,0,0,1,0,12 * 12,,Supply Only,Door (General),,0,0,1.0,4100.0,4100.0,4633.0,169.0,,1,,,,,,,,,standard_default,low,no_size_applicable
Recurring,30/09/2022,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,1.0,4100.0,4100.0,4633.0,178.84,Door (General) Install,1,,,,,,,,680.0,back_calculated,high,back_calculated | raw=677.7 snapped=680
Recurring,22/10/2022,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,1.0,4100.0,4100.0,4633.0,690.81,Door (General) Install,5,,,,,,,,680.0,back_calculated,high,back_calculated | raw=677.7 snapped=680
Recurring,16/11/2023,0,0,0,0,0,0,0,0,1,0,10 * 8,,Supply & Install,Door (General),,0,0,1.0,4050.0,4050.0,4576.5,502.0,Door (General) Supply & Install,5,,,,,,,,670.0,back_calculated,high,back_calculated | raw=669.4 snapped=670
Loyalty,14/04/2025,0,0,0,0,0,1,0,0,0,0,,,Install,High Speed Door,,0,1,1.0,4000.0,4000.0,4520.0,22.13,High Speed Door Install,0,,,,,,,,835.0,back_calculated,high,back_calculated | raw=833.3 snapped=835
New,05/02/2026,0,0,0,0,0,0,0,0,1,0,,,Supply & Install,Door (General),,0,0,1.0,3960.0,3960.0,4474.8,71.53,Door (General) Supply & Install,0,,,,,,,,655.0,back_calculated,high,back_calculated | raw=654.5 snapped=655
Loyalty,11/12/2023,0,0,0,0,0,1,0,0,0,0,,,Supply & Install,High Speed Door,,0,0,2.0,7700.0,7700.0,8701.0,42.66,High Speed Door Supply & Install,0,,,,,,,,1605.0,back_calculated,high,back_calculated | raw=1604.2 snapped=1605
