Customer Tier,Transaction date,Replace,Remove,Firedoor,Drop Test,Bumpers,Is_customer_Lenworth,Specialty Door,Dock Seal,Door(general),Hardware/Parts,Dimensions,Column1,Work_type,sqft_services,Flat_Services,Operator/Opener,Install,Quantity,Sales price,Amount,Totals,Distance,service,Distance Tier,unique,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,door_width,door_height,door_sqft,size_source,size_confidence,size_note
Loyalty,08/04/2022,0,1,0,0,0,1,0,0,1,0,,,Remove,Door (General),Operator/Opener,0,0,1.0,1000.0,1000.0,1130.0,51.68,,0,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,13/09/2021,1,0,0,0,0,1,0,0,0,0,,,Replace,Other/Misc,,0,0,1.0,1000.0,1000.0,1130.0,55.71,,0,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,05/02/2022,0,0,0,0,0,1,0,0,1,0,,,Labor,Door (General),,0,0,1.0,1000.0,1000.0,1130.0,61.33,,0,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,20/06/2022,0,1,0,0,0,1,0,0,1,0,,,Remove and Replace,Door (General),,0,0,2.0,1000.0,2000.0,2260.0,74.68,,0,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,20/12/2021,0,1,0,0,0,1,0,0,1,0,4 * 8,,Remove and Replace,Door (General),Operator/Opener,0,0,1.0,1000.0,1000.0,1130.0,183.0,,1,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,07/09/2025,0,0,0,0,0,1,0,0,0,0,,,Labor,High Speed Door,,0,0,1.0,950.0,950.0,1073.5,108.2,,1,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,17/05/2022,1,0,0,0,0,1,0,0,1,0,,,Replace,Door (General),,0,0,1.0,900.0,900.0,1017.0,17.9,,0,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,05/03/2026,0,0,0,0,0,1,0,0,1,0,,,Repair,Door (General),,0,0,2.0,1800.0,1800.0,2034.0,50.67,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,24/10/2020,0,0,0,0,0,0,0,0,1,0,8 * 7,,Other/Misc,Door (General),,0,0,1.0,850.0,850.0,960.5,231.4,,2,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,25/07/2024,0,0,0,0,0,1,0,0,1,0,10 * 10,,Repair,Door (General),,0,0,2.0,837.5,1675.0,1892.75,38.13,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,21/03/2026,0,1,0,0,0,0,0,0,1,0,,,Remove and Replace,Door (General),,0,0,1.0,800.0,800.0,904.0,36.0,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,15/03/2021,0,1,0,0,0,0,0,0,1,0,,,Remove and Replace,Door (General),,0,0,1.0,800.0,800.0,904.0,82.0,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,02/12/2021,0,1,0,0,0,0,0,0,1,0,10 * 2,,Remove and Replace,Door (General),,0,0,1.0,800.0,800.0,904.0,92.35,,0,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,14/12/2020,0,1,0,0,0,1,0,0,1,0,,,Remove and Replace,Door (General),,0,0,3.0,800.0,2400.0,2712.0,108.98,,1,,,,,,,,,standard_default,low,no_size_applicable
Recurring,26/07/2022,0,1,0,0,0,0,0,0,1,0,,,Remove and Replace,Door (General),,0,0,1.0,800.0,800.0,904.0,211.68,,2,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,04/05/2021,0,1,0,0,0,1,0,0,1,0,,,Remove and Replace,Door (General),Operator/Opener,0,0,2.0,1600.0,1600.0,1808.0,558.22,,5,,,,,,,,,standard_default,low,no_size_applicable
Recurring,02/02/2026,1,0,0,0,0,0,0,0,1,0,,,Replace,Door (General),,0,0,3.0,750.0,2250.0,2542.5,12.6,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,02/02/2026,1,0,0,0,0,0,0,0,1,0,,,Replace,Door (General),,0,0,3.0,750.0,2250.0,2542.5,36.6,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,05/01/2024,0,1,0,0,0,0,0,0,1,0,,,Remove and Replace,Door (General),,0,0,3.0,2250.0,2250.0,2542.5,45.6,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,02/02/2026,0,0,0,0,0,0,0,0,1,0,,,Repair,Door (General),,0,0,2.0,750.0,1500.0,1695.0,48.99,,0,,,,,,,,,standard_default,low,no_size_applicable
New,05/11/2024,0,1,0,0,0,0,0,0,1,0,,,Remove,Door (General),,0,0,1.0,750.0,750.0,847.5,212.53,,2,,,,,,,,,standard_default,low,no_size_applicable
Recurring,30/01/2024,1,0,0,0,0,0,0,0,1,0,,,Replace,Door (General),,0,0,5.0,700.0,3500.0,3955.0,15.01,,0,,,,,,,,,standard_default,low,no_size_applicable
New,15/05/2023,0,0,0,0,0,0,0,0,1,0,,,Repair,Door (General),,0,0,1.0,700.0,700.0,791.0,22.96,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,02/02/2026,0,1,0,0,0,0,0,0,1,0,,,Remove,Door (General),,0,0,1.0,700.0,700.0,791.0,46.0,,0,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,10/12/2025,1,0,0,0,0,1,0,0,1,0,,,Replace,Door (General),,0,0,1.0,700.0,700.0,791.0,72.0,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,20/07/2021,0,0,0,0,0,0,0,0,1,0,,,Repair,Door (General),,0,0,2.0,700.0,1400.0,1582.0,123.17,,1,,,,,,,,,standard_default,low,no_size_applicable
Recurring,21/07/2021,0,0,0,0,0,0,0,0,1,0,,,Repair,Door (General),,0,0,1.0,700.0,700.0,791.0,127.12,,1,,,,,,,,,standard_default,low,no_size_applicable
Recurring,08/07/2021,0,0,0,0,0,0,0,0,1,0,,,Repair,Door (General),,0,0,1.0,650.0,650.0,734.5,54.67,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,30/06/2022,0,1,0,0,0,0,0,0,1,0,,,Remove and Replace,Door (General),,0,0,2.0,1250.0,1250.0,1412.5,45.08,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,10/06/2021,0,0,0,0,0,0,0,0,1,0,,,Repair,Door (General),,0,0,1.0,600.0,600.0,678.0,43.45,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,10/06/2021,0,0,0,0,0,0,0,0,1,0,,,Repair,Door (General),,0,0,1.0,600.0,600.0,678.0,43.45,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,24/10/2020,1,0,0,0,0,0,0,0,1,0,,,Replace,Door (General),,0,0,1.0,600.0,600.0,678.0,60.05,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,15/05/2023,1,0,0,0,0,0,0,0,1,0,,,Replace,Door (General),,0,0,1.0,600.0,600.0,678.0,68.4,,0,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,19/08/2023,1,0,0,0,0,1,0,0,1,0,,,Replace,Door (General),Operator/Opener,0,0,1.0,600.0,600.0,678.0,110.0,,1,,,,,,,,,standard_default,low,no_size_applicable
Recurring,10/01/2026,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,6.0,600.0,3600.0,4068.0,211.68,Door (General) Install,2,,,,,,,,,standard_default,low,no_size_applicable
Recurring,13/02/2026,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,33.0,550.0,18150.0,20509.5,138.61,Door (General) Install,1,,,,,,,,,standard_default,low,no_size_applicable
Recurring,13/06/2023,0,0,0,0,0,0,0,0,1,0,10 * 10,,Repair,Door (General),,0,0,1.0,516.0,516.0,583.08,349.43,,3,,,,,,,,,standard_default,low,no_size_applicable
Recurring,30/11/2021,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,11.0,500.0,5500.0,6215.0,22.0,Door (General) Install,0,,,,,,,,,standard_default,low,no_size_applicable
New,20/03/2023,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),Operator/Opener,0,1,1.0,500.0,500.0,565.0,34.03,Door (General) Install,0,,,,,,,,,standard_default,low,no_size_applicable
New,14/04/2023,1,0,0,0,0,0,0,0,1,0,,,Replace,Door (General),,0,0,1.0,500.0,500.0,565.0,35.02,,0,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,03/02/2025,0,0,0,0,0,1,0,0,1,0,,,Repair,Door (General),,0,0,1.0,500.0,500.0,565.0,45.73,,0,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,20/03/2025,0,1,0,0,0,1,0,0,1,0,,,Remove,Door (General),,0,0,2.0,500.0,1000.0,1130.0,78.08,,0,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,03/03/2025,1,0,0,0,0,1,0,0,1,0,,,Replace,Door (General),,0,0,1.0,500.0,500.0,565.0,78.6,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,03/03/2021,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),Operator/Opener,0,1,10.0,500.0,5000.0,5650.0,83.18,Door (General) Install,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,14/12/2020,1,0,0,0,0,0,0,0,1,0,,,Replace,Door (General),,0,0,1.0,450.0,450.0,508.5,34.03,,0,,,,,,,,,standard_default,low,no_size_applicable
New,06/12/2022,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,1.0,450.0,450.0,508.5,40.78,Door (General) Install,0,,,,,,,,,standard_default,low,no_size_applicable
